study,task1,task2
HCP,task001_shapes_vs_baseline,task001_faces_vs_baseline
HCP,task004_right_hand_vs_baseline,task004_right_foot_vs_baseline
HCP,task004_right_foot_vs_baseline,task004_left_foot_vs_baseline
HCP,task004_left_hand_vs_baseline,task004_right_foot_vs_baseline
HCP,task004_left_hand_vs_baseline,task004_left_foot_vs_baseline
HCP,task007_tool_vs_baseline,task007_face_vs_baseline
HCP,task007_face_vs_baseline,task007_body_vs_baseline
HCP,task007_tool_vs_baseline,task007_body_vs_baseline
HCP,task007_body_vs_baseline,task007_place_vs_baseline
amalric2012mathematicians,task001_equation_vs_baseline,task001_number_vs_baseline
amalric2012mathematicians,task001_house_vs_baseline,task001_word_vs_baseline
amalric2012mathematicians,task001_house_vs_baseline,task001_body_vs_baseline
amalric2012mathematicians,task001_equation_vs_baseline,task001_word_vs_baseline
amalric2012mathematicians,task002_visual_calculation_vs_baseline,task002_auditory_sentences_vs_baseline
amalric2012mathematicians,task002_auditory_right_motor_vs_baseline,task002_visual_calculation_vs_baseline
cauvet2009muslang,task001_c16_music_vs_baseline,task001_c02_music_vs_baseline
cauvet2009muslang,task002_c16_language_vs_baseline,task002_c01_language_vs_baseline
cauvet2009muslang,task002_c02_language_vs_baseline,task002_c16_language_vs_baseline
cauvet2009muslang,task002_c04_language_vs_baseline,task002_c16_language_vs_baseline
amalric2012mathematicians,task001_face_vs_baseline,task001_scramble_vs_baseline
ds107,task001_scramble_vs_baseline,task001_objects_vs_baseline
ds107,task001_consonant_vs_baseline,task001_scramble_vs_baseline
ds107,task001_consonant_vs_baseline,task001_objects_vs_baseline
ds108,task001_reapp_negative_rating_vs_baseline,task001_reapp_negative_cue_vs_baseline
ds108,task001_look_negative_stim_vs_baseline,task001_look_negative_rating_vs_baseline
ds108,task001_reapp_negative_stim_vs_baseline,task001_reapp_negative_rating_vs_baseline
ds109,task001_false_photo_story_vs_baseline,task001_false_photo_question_vs_baseline
ds109,task001_false_belief_story_vs_baseline,task001_false_photo_story_vs_baseline
ds109,task001_false_belief_question_vs_baseline,task001_false_photo_question_vs_baseline
ds109,task001_false_belief_story_vs_baseline,task001_false_belief_question_vs_baseline
ds109,task001_false_belief_question_vs_baseline,task001_false_photo_story_vs_baseline
pinel2007fast,task001_visual_right_motor_vs_baseline,task001_vertical_checkerboard_vs_baseline
pinel2007fast,task001_auditory_right_motor_vs_baseline,task001_visual_right_motor_vs_baseline
ds107,task001_scramble_vs_baseline,task001_face_vs_baseline
amalric2012mathematicians,task001_house_vs_baseline,task001_scramble_vs_baseline
ds107,task001_words_vs_baseline,task001_face_vs_baseline